,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,pos,neg,neutral,pos_neg_ratio,tweet_pos,tweet_neg,tweet_neutral,tweet_pos_neg_ratio
12,V for Vendetta,2005,R,2h 12min,Action; Drama; Sci-Fi; ,17 March 2006 (USA),8.2,1002944,2205,https://www.imdb.com/title/tt0434409/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6922374429223744,0.2990867579908676,0.0086757990867579,2.314503816793893,0.5922330097087378,0.3592233009708738,0.04854368932038835,1.6486486486486487
13,Léon: The Professional,1994,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5,999596,1193,https://www.imdb.com/title/tt0110413/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8512110726643599,0.1427335640138408,0.0060553633217993,5.963636363636364,0.8421052631578947,0.12465373961218837,0.0332409972299169,6.7555555555555555
14,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23min,Action; Adventure; Fantasy; ,9 July 2003 (USA),8.0,997264,2186,https://www.imdb.com/title/tt0325980/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7474701011959521,0.2437902483900643,0.0087396504139834,3.0660377358490565,0.3695652173913043,0.5543478260869565,0.07608695652173914,0.6666666666666666
15,Kill Bill: Vol. 1,2003,R,1h 51min,Action; Crime; Thriller; ,10 October 2003 (USA),8.1,970439,2272,https://www.imdb.com/title/tt0266697/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5566414926699245,0.4295868502887605,0.0137716570413149,1.295760082730093,0.8716814159292036,0.09734513274336283,0.030973451327433628,8.954545454545455
16,Terminator 2: Judgment Day,1991,R,2h 17min,Action; Sci-Fi; ,3 July 1991 (USA),8.5,968504,1269,https://www.imdb.com/title/tt0103064/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7998385794995965,0.1912832929782082,0.0088781275221953,4.181434599156118,0.7874015748031497,0.16535433070866143,0.047244094488188976,4.761904761904762
17,Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11min,Action; Adventure; Fantasy; ,25 May 1983 (USA),8.3,922278,828,https://www.imdb.com/title/tt0086190/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8379052369077307,0.1546134663341646,0.0074812967581047,5.419354838709677,1.0,0.0,0.0,10.0
18,Iron Man,2008,PG-13,2h 6min,Action; Adventure; Sci-Fi; ,2 May 2008 (USA),7.9,915640,1319,https://www.imdb.com/title/tt0371746/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7731800766283525,0.2191570881226053,0.0076628352490421,3.527972027972028,0.7369281045751634,0.23202614379084968,0.03104575163398693,3.176056338028169
19,Deadpool,2016,R,1h 48min,Action; Adventure; Comedy; ,12 February 2016 (USA),8.0,876091,1440,https://www.imdb.com/title/tt1431045/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6476719944405838,0.3425990271021543,0.0097289784572619,1.8904665314401623,0.7704654895666132,0.19903691813804172,0.030497592295345103,3.870967741935484
20,Raiders of the Lost Ark,1981,PG,1h 55min,Action; Adventure; ,12 June 1981 (USA),8.4,859523,931,https://www.imdb.com/title/tt0082971/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6688963210702341,0.3210702341137124,0.0100334448160535,2.083333333333333,0.4135702746365105,0.555735056542811,0.030694668820678513,0.7441860465116279
21,Mad Max: Fury Road,2015,R,2h,Action; Adventure; Sci-Fi; ,15 May 2015 (USA),8.1,848011,1990,https://www.imdb.com/title/tt1392190/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5655487804878049,0.4268292682926829,0.0076219512195121,1.325,0.8907363420427553,0.07838479809976247,0.030878859857482184,11.363636363636363
22,Star Wars: Episode VII - The Force Awakens,2015,PG-13,2h 18min,Action; Adventure; Sci-Fi; ,18 December 2015 (USA),7.9,841234,4794,https://www.imdb.com/title/tt2488496/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4968513853904282,0.4920235096557515,0.0111251049538203,1.0098122866894197,0.9583333333333334,0.041666666666666664,0.0,23.0
23,Jurassic Park,1993,PG-13,2h 7min,Action; Adventure; Sci-Fi; ,11 June 1993 (USA),8.1,836793,1133,https://www.imdb.com/title/tt0107290/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7322907083716651,0.2529898804047838,0.014719411223551,2.8945454545454545,0.8114754098360656,0.1598360655737705,0.028688524590163935,5.076923076923077
24,The Hunger Games,2012,PG-13,2h 22min,Action; Adventure; Sci-Fi; ,23 March 2012 (USA),7.2,826505,2037,https://www.imdb.com/title/tt1392170/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3431516936671576,0.6485027000490918,0.0083456062837506,0.5291445874337622,0.6948590381426202,0.25870646766169153,0.04643449419568822,2.6858974358974357
25,Avengers: Infinity War,2018,PG-13,2h 29min,Action; Adventure; Sci-Fi; ,27 April 2018 (USA),8.4,784777,4248,https://www.imdb.com/title/tt4154756/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7265606456206979,0.2641822929029195,0.0092570614763826,2.7502246181491463,0.8776978417266187,0.08633093525179857,0.03597122302158273,10.166666666666666
26,The Terminator,1984,R,1h 47min,Action; Sci-Fi; ,26 October 1984 (USA),8.0,779029,885,https://www.imdb.com/title/tt0088247/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8154205607476636,0.1717289719626168,0.0128504672897196,4.748299319727892,0.6898470097357441,0.2698191933240612,0.04033379694019471,2.556701030927835
27,Die Hard,1988,R,2h 12min,Action; Thriller; ,20 July 1988 (USA),8.2,763300,912,https://www.imdb.com/title/tt0095016/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7919010123734533,0.1991001124859392,0.0089988751406074,3.977401129943503,0.5185185185185185,0.41798941798941797,0.06349206349206349,1.240506329113924
28,Avengers: Endgame,2019,PG-13,3h 1min,Action; Adventure; Drama; ,26 April 2019 (USA),8.4,736177,8805,https://www.imdb.com/title/tt4154796/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7096182506018571,0.2838473002407428,0.0065344491573999,2.5,0.8419354838709677,0.13870967741935483,0.01935483870967742,6.069767441860465
29,Iron Man 3,2013,PG-13,2h 10min,Action; Adventure; Sci-Fi; ,3 May 2013 (USA),7.2,735568,1314,https://www.imdb.com/title/tt1300854/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4353120243531202,0.5441400304414004,0.0205479452054794,0.8,0.7398119122257053,0.23197492163009403,0.02821316614420063,3.189189189189189
30,Thor,2011,PG-13,1h 55min,Action; Adventure; Fantasy; ,6 May 2011 (USA),7.0,726753,915,https://www.imdb.com/title/tt0800369/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7136612021857923,0.2797814207650273,0.0065573770491803,2.55078125,0.792,0.16,0.048,4.95
31,300,2006,R,1h 57min,Action; Drama; ,9 March 2007 (USA),7.6,719421,2176,https://www.imdb.com/title/tt0416449/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.534712643678161,0.4519540229885057,0.0133333333333333,1.1831129196337742,0.6407982261640798,0.3303769401330377,0.028824833702882482,1.9395973154362416
32,Captain America: The First Avenger,2011,PG-13,2h 4min,Action; Adventure; Sci-Fi; ,22 July 2011 (USA),6.9,718921,882,https://www.imdb.com/title/tt0458339/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6643990929705216,0.3231292517006803,0.0124716553287981,2.056140350877193,0.9382239382239382,0.06177606177606178,0.0,15.1875
33,Avengers: Age of Ultron,2015,PG-13,2h 21min,Action; Adventure; Sci-Fi; ,1 May 2015 (USA),7.3,717521,1303,https://www.imdb.com/title/tt2395427/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5771297006907138,0.4090560245587106,0.0138142747505755,1.4108818011257036,0.9210526315789473,0.07017543859649122,0.008771929824561403,13.125
34,Captain America: The Winter Soldier,2014,PG-13,2h 16min,Action; Adventure; Sci-Fi; ,4 April 2014 (USA),7.7,714445,937,https://www.imdb.com/title/tt1843866/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8377801494130203,0.1579509071504802,0.0042689434364994,5.304054054054054,0.9217687074829932,0.07482993197278912,0.003401360544217687,12.318181818181818
